vmName,vhdxDrivePath,volumesToBackup,vmBackupTargetDrive,DIskUniqueID,User,FQDN,CheckPath
RMC-APP-001,E:\Backup\RMC-APP-001\RMC-APP-001-Backup.vhdx,"C:,D:",E,60022480DE4D50CD1E83042B0639A56C,RMC\RMCWSBUser,RMC-APP-001.rmc.ads,D:\Data\Scripts\Logs
RMC-FS-001,E:\Backup\RMC-FS-001\RMC-FS-001-Backup.vhdx,"C:,D:",E,600224805F8205812769D8F03B364169,RMC\RMCWSBUser,RMC-FS-001.rmc.ads,D:\Data\Scripts\Logs
RMC-VID-001,E:\Backup\RMC-VID-001\RMC-VID-001-Backup.vhdx,"C:,D:",E,60022480BB68AE457653189651E74C56,RMC\RMCWSBUser,RMC-VID-001.rmc.ads,D:\Data\Scripts\Logs
RMC-HDC-001c,E:\Backup\RMC-HDC-001c\RMC-HDC-001c-Backup.vhdx,C:,E,60022480EA095305B9FE3E668C771962,RMC\RMCWSBUser,RMC-HDC-001c.rmc.ads,C:\Logs
