"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1501","1334.75","166.25",""
"ACE-FS-001","","","","","1237.94"
"ACP-FS-001","D:","600","412.33","187.67",""
"ACP-FS-001","","","","","518.99"
"ACP-FS-002","D:","1023.87","50.23","973.64",""
"ACP-FS-002","","","","","0.01"
"BLUS-APP-001","D:","100","33.38","66.62",""
"BLUS-APP-001","","","","","5.35"
"BLUS-RDS-001","D:","23.05","1.78","21.27",""
"BLUS-RDS-001","","","","","0.05"
"BLUS-SQL-001","D:","100","73.4","26.6",""
"BLUS-SQL-001","","","","","45.28"
"BLUS-SQL-002","D:","200","100.51","99.49",""
"BLUS-SQL-002","","","","","75.72"
"BLUS-SRV-001","D:","1753.9","992.26","761.64",""
"BLUS-SRV-001","","","","","518.35"
"BRIO-APP-001","D:","199.98","22.17","177.81",""
"BRIO-APP-001","","","","","7.36"
"BRIO-MEM-001","D:","499.81","435.22","64.59",""
"BRIO-MEM-001","","","","","273.66"
"ENHC-SRV-001","D:","199.92","134.66","65.26",""
"ENHC-SRV-001","","","","","69.06"
"GDA-FS-002","D:","700.98","629.9","71.08",""
"GDA-FS-002","","","","","508.9"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"NAIL-FS-001","D:","1000","841.34","158.66",""
"NAIL-FS-001","","","","","470.88"
"ODC-FS-001","D:","1301.98","1266.16","35.82",""
"ODC-FS-001","","","","","1243"
"ODC-APP-001","D:","100","30.42","69.58",""
"ODC-APP-001","","","","","6.89"
"ODC-SQL-002","F:","799.87","740.48","59.39",""
"ODC-SQL-002","","","","","740.09"
"ODC-SRV-001","D:","800","375.25","424.75",""
"ODC-SRV-001","","","","","131.1"
"PAL-FS-001","D:","601","487.63","113.37",""
"PAL-FS-001","","","","","377.98"
"RI-APS-001","D:","120.87","36.86","84.01",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","307.14","142.73",""
"RI-FS-001","","","","","291.6"
"RI-HM-003","D:","20","11.64","8.36",""
"RI-HM-003","","","","","8.36"
"RI-MDT-003","D:","749.87","703.28","46.59",""
"RI-MDT-003","","","","","21.59"
"RI-SD-001","D:","63.87","48.12","15.75",""
"RI-SD-001","","","","","47.6"
"RI-TSE-001","D:","99.94","50.24","49.7",""
"RI-TSE-001","","","","","16.42"
"RMC-APP-001","D:","399.98","272.97","127.01",""
"RMC-APP-001","","","","","253.75"
"RMC-FS-001","D:","2137.98","1947.47","190.51",""
"RMC-FS-001","","","","","1578"
"TOO-SRV-002","D:","319.87","160.51","159.36",""
"TOO-SRV-002","","","","","195.88"
"TOO-TSE-001","D:","169.94","143.96","25.98",""
"TOO-TSE-001","","","","","117.68"
"WPC-FS-001","D:","600","347.22","252.78",""
"WPC-FS-001","","","","","127.36"
