"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1300","1157.33","142.67",""
"ACE-FS-001","","","","","954.9"
"ACAWT-APP-004","D:","127","7.70999999999999","119.29",""
"ACAWT-APP-004","","","","","0.84"
"ACAWT-APP-006","D:","999.98","892.75","107.23",""
"ACAWT-APP-006","","","","","874.25"
"ACAWT-FS-001","D:","1224.98","1171.09","53.89",""
"ACAWT-FS-001","","","","","960.23"
"ACP-FS-001","D:","600","396.03","203.97",""
"ACP-FS-001","","","","","493.9"
"ACP-FS-002","D:","1023.87","86.09","937.78",""
"ACP-FS-002","","","","","36.49"
"BLUS-APP-001","D:","100","32.09","67.91",""
"BLUS-APP-001","","","","","5.19"
"BLUS-RDS-001","D:","23.05","1.78","21.27",""
"BLUS-RDS-001","","","","","0.05"
"BLUS-SQL-001","D:","100","73.39","26.61",""
"BLUS-SQL-001","","","","","45.25"
"BLUS-SQL-002","D:","200","78.4","121.6",""
"BLUS-SQL-002","","","","","52.47"
"BLUS-SRV-001","D:","1753.9","957","796.9",""
"BLUS-SRV-001","","","","","485.68"
"BRIO-APP-001","D:","199.98","21.97","178.01",""
"BRIO-APP-001","","","","","7.17"
"BRIO-MEM-001","D:","499.81","395.71","104.1",""
"BRIO-MEM-001","","","","","257.78"
"ENHC-SRV-001","D:","199.92","124.23","75.69",""
"ENHC-SRV-001","","","","","59.72"
"GDA-FS-002","D:","599.98","584.28","15.7",""
"GDA-FS-002","","","","","470.05"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"HSFG-FS-001","D:","300","231.65","68.35",""
"HSFG-FS-001","","","","","282.64"
"HSFG-SQL-001","E:","200.75","137.47","63.28",""
"HSFG-SQL-001","","","","","107.65"
"MW-FS-001","D:","768.98","479.84","289.14",""
"MW-FS-001","","","","","442.31"
"MW-APP-001","D:","126.98","5.19","121.79",""
"MW-APP-001","","","","","4.17"
"MW-SQL-001","D:","126.98","39.79","87.19",""
"MW-SQL-001","","","","","37.73"
"MW-TSE-001","D:","126.98","9.58","117.4",""
"MW-TSE-001","","","","","3.94"
"NAIL-FS-001","D:","1000","827.98","172.02",""
"NAIL-FS-001","","","","","460.32"
"ODC-FS-001","D:","1200.98","1168.31","32.67",""
"ODC-FS-001","","","","","1134"
"ODC-APP-001","D:","100","30.3","69.7",""
"ODC-APP-001","","","","","6.77"
"ODC-SQL-002","F:","599.87","580.56","19.31",""
"ODC-SQL-002","","","","","580.17"
"ODC-SRV-001","D:","800","333.12","466.88",""
"ODC-SRV-001","","","","","127.86"
"PAL-APP-001","D:","20","6.45","13.55",""
"PAL-APP-001","","","","","6.28"
"PAL-FS-001","D:","601","478.9","122.1",""
"PAL-FS-001","","","","","310.18"
"PTA-APP-001","D:","893.62","180.15","713.47",""
"PTA-APP-001","","","","","159.63"
"PTA-APP-002","D:","250","154.17","95.83",""
"PTA-APP-002","","","","","125.5"
"PTA-FS-001","D:","1024","259.74","764.26",""
"PTA-FS-001","","","","","193.08"
"RI-APS-001","D:","120.87","34.14","86.73",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","380.54","69.33",""
"RI-FS-001","","","","","336.23"
"RI-HM-003","D:","20","10.29","9.71",""
"RI-HM-003","","","","","7.02"
"RI-MDT-003","D:","749.87","660.51","89.36",""
"RI-MDT-003","","","","","21.24"
"RI-SD-001","D:","63.87","36.38","27.49",""
"RI-SD-001","","","","","35.85"
"RI-SQL-001","D:","199.87","93.36","106.51",""
"RI-SQL-001","","","","","83.94"
"RI-TSE-001","D:","99.94","49.13","50.81",""
"RI-TSE-001","","","","","15.51"
"RMC-APP-001","D:","399.98","268.09","131.89",""
"RMC-APP-001","","","","","207.3"
"RMC-FS-001","D:","1936.98","1719.52","217.46",""
"RMC-FS-001","","","","","1291"
"TOO-SRV-002","D:","319.87","146.43","173.44",""
"TOO-SRV-002","","","","","158.33"
"TOO-TSE-001","D:","149.94","89.19","60.75",""
"TOO-TSE-001","","","","","70.86"
"WPC-FS-001","D:","600","287.87","312.13",""
"WPC-FS-001","","","","","103.98"
