"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","","0","0","0",""
"ACE-FS-001","","","","","0"
"ACAWT-APP-004","D:","127","7.70999999999999","119.29",""
"ACAWT-APP-004","","","","","0.84"
"ACAWT-FS-001","D:","127","7.70999999999999","119.29",""
"ACAWT-FS-001","","","","","0.84"
"ACP-FS-001","D:","127","7.70999999999999","119.29",""
"ACP-FS-001","","","","","0.84"
"BLUS-APP-001","D:","127","7.70999999999999","119.29",""
"BLUS-APP-001","","","","","0.84"
"BLUS-SQL-001","D:","127","7.70999999999999","119.29",""
"BLUS-SQL-001","","","","","0.84"
"BLUS-SQL-002","D:","127","7.70999999999999","119.29",""
"BLUS-SQL-002","","","","","0.84"
"BLUS-SRV-001","D:","1753.9","962.05","791.85",""
"BLUS-SRV-001","","","","","491.16"
"BRIO-MEM-001","D:","1753.9","962.05","791.85",""
"BRIO-MEM-001","","","","","491.16"
"ENHC-SRV-001","D:","1753.9","962.05","791.85",""
"ENHC-SRV-001","","","","","491.16"
"GDA-RDS-001","D:","1753.9","962.05","791.85",""
"GDA-RDS-001","","","","","491.16"
"GLP-SRV-001","D:","1753.9","962.05","791.85",""
"GLP-SRV-001","","","","","491.16"
"HSFG-FS-001","D:","1753.9","962.05","791.85",""
"HSFG-FS-001","","","","","491.16"
"HSFG-SQL-001","D:","1753.9","962.05","791.85",""
"HSFG-SQL-001","","","","","491.16"
"HSFG-SQL-002","D:","1753.9","962.05","791.85",""
"HSFG-SQL-002","","","","","491.16"
"HSFG-TSE-001","D:","1753.9","962.05","791.85",""
"HSFG-TSE-001","","","","","491.16"
"HSFG-TSE-003","D:","1753.9","962.05","791.85",""
"HSFG-TSE-003","","","","","491.16"
"MW-FS-001","D:","1753.9","962.05","791.85",""
"MW-FS-001","","","","","491.16"
"MW-APP-001","D:","1753.9","962.05","791.85",""
"MW-APP-001","","","","","491.16"
"MW-SQL-001","D:","1753.9","962.05","791.85",""
"MW-SQL-001","","","","","491.16"
"MW-TSE-001","D:","1753.9","962.05","791.85",""
"MW-TSE-001","","","","","491.16"
"NAIL-FS-001","D:","1753.9","962.05","791.85",""
"NAIL-FS-001","","","","","491.16"
"ODC-APP-001","D:","1753.9","962.05","791.85",""
"ODC-APP-001","","","","","491.16"
"ODC-SQL-002","D:","1753.9","962.05","791.85",""
"ODC-SQL-002","","","","","491.16"
"ODC-SRV-001","D:","1753.9","962.05","791.85",""
"ODC-SRV-001","","","","","491.16"
"PAL-APP-001","D:","1753.9","962.05","791.85",""
"PAL-APP-001","","","","","491.16"
"PAL-FS-001","D:","1753.9","962.05","791.85",""
"PAL-FS-001","","","","","491.16"
"PTA-APP-001","D:","1753.9","962.05","791.85",""
"PTA-APP-001","","","","","491.16"
"PTA-APP-002","D:","1753.9","962.05","791.85",""
"PTA-APP-002","","","","","491.16"
"PTA-FS-001","D:","1753.9","962.05","791.85",""
"PTA-FS-001","","","","","491.16"
"RI-APS-001","D:","120.87","34.12","86.75",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","380.79","69.08",""
"RI-FS-001","","","","","335.85"
"RI-HM-003","D:","20","10.24","9.76",""
"RI-HM-003","","","","","6.97"
"RI-MDT-003","D:","749.87","619.33","130.54",""
"RI-MDT-003","","","","","21.15"
"RI-SD-001","D:","63.87","36.01","27.86",""
"RI-SD-001","","","","","35.49"
"RI-SQL-001","D:","199.87","93.35","106.52",""
"RI-SQL-001","","","","","83.94"
"RI-TSE-001","D:","99.94","49.12","50.82",""
"RI-TSE-001","","","","","15.5"
"RMC-FS-001","D:","99.94","49.12","50.82",""
"RMC-FS-001","","","","","15.5"
"TOO-SRV-002","D:","99.94","49.12","50.82",""
"TOO-SRV-002","","","","","15.5"
"TOO-TSE-001","D:","99.94","49.12","50.82",""
"TOO-TSE-001","","","","","15.5"
"WPC-FS-001","D:","99.94","49.12","50.82",""
"WPC-FS-001","","","","","15.5"
