"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1300","1126.92","173.08",""
"ACE-FS-001","","","","","932.24"
"ACAWT-APP-004","D:","127","7.70999999999999","119.29",""
"ACAWT-APP-004","","","","","0.84"
"ACAWT-FS-001","D:","1224.98","1161.57","63.41",""
"ACAWT-FS-001","","","","","956.02"
"ACP-FS-001","D:","600","395.77","204.23",""
"ACP-FS-001","","","","","494.09"
"ACP-FS-002","D:","1023.87","86.09","937.78",""
"ACP-FS-002","","","","","36.49"
"BLUS-APP-001","D:","100","32.08","67.92",""
"BLUS-APP-001","","","","","5.19"
"BLUS-SQL-001","D:","100","73.38","26.62",""
"BLUS-SQL-001","","","","","45.24"
"BLUS-SQL-002","D:","200","77.72","122.28",""
"BLUS-SQL-002","","","","","51.71"
"BLUS-SRV-001","D:","1753.9","962.04","791.86",""
"BLUS-SRV-001","","","","","491.24"
"BRIO-MEM-001","D:","499.81","398.86","100.95",""
"BRIO-MEM-001","","","","","256.65"
"ENHC-SRV-001","D:","199.92","124.98","74.94",""
"ENHC-SRV-001","","","","","59.64"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"HSFG-FS-001","D:","300","232.58","67.42",""
"HSFG-FS-001","","","","","281.84"
"HSFG-SQL-001","E:","200.75","137.47","63.28",""
"HSFG-SQL-001","","","","","107.65"
"MW-FS-001","D:","768.98","487.23","281.75",""
"MW-FS-001","","","","","455.77"
"MW-APP-001","D:","126.98","5.05","121.93",""
"MW-APP-001","","","","","4.14"
"MW-SQL-001","D:","126.98","39.51","87.47",""
"MW-SQL-001","","","","","37.52"
"MW-TSE-001","D:","126.98","9.51000000000001","117.47",""
"MW-TSE-001","","","","","3.87"
"NAIL-FS-001","D:","1000","835.18","164.82",""
"NAIL-FS-001","","","","","467.86"
"ODC-APP-001","D:","100","30.29","69.71",""
"ODC-APP-001","","","","","6.78"
"ODC-SQL-002","F:","599.87","568.97","30.9",""
"ODC-SQL-002","","","","","556.07"
"ODC-SRV-001","D:","800","334.07","465.93",""
"ODC-SRV-001","","","","","127.85"
"PAL-APP-001","D:","20","6.45","13.55",""
"PAL-APP-001","","","","","6.28"
"PAL-FS-001","D:","601","482.36","118.64",""
"PAL-FS-001","","","","","309.69"
"PTA-APP-001","D:","893.62","179.91","713.71",""
"PTA-APP-001","","","","","159.41"
"PTA-APP-002","D:","250","158.29","91.71",""
"PTA-APP-002","","","","","124.81"
"PTA-FS-001","D:","1024","258.37","765.63",""
"PTA-FS-001","","","","","191.65"
"RI-APS-001","D:","120.87","34.21","86.66",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","381.95","67.92",""
"RI-FS-001","","","","","335.96"
"RI-HM-003","D:","20","10.25","9.75",""
"RI-HM-003","","","","","6.98"
"RI-MDT-003","D:","749.87","619.46","130.41",""
"RI-MDT-003","","","","","21.24"
"RI-SD-001","D:","63.87","36.06","27.81",""
"RI-SD-001","","","","","35.53"
"RI-SQL-001","D:","199.87","93.35","106.52",""
"RI-SQL-001","","","","","83.94"
"RI-TSE-001","D:","99.94","49.12","50.82",""
"RI-TSE-001","","","","","15.5"
"RMC-APP-001","D:","399.98","261.64","138.34",""
"RMC-APP-001","","","","","201.13"
"RMC-FS-001","D:","1936.98","1701.85","235.13",""
"RMC-FS-001","","","","","1276"
"TOO-SRV-002","D:","319.87","145.7","174.17",""
"TOO-SRV-002","","","","","157.37"
"TOO-TSE-001","D:","149.94","97.94","52",""
"TOO-TSE-001","","","","","69.36"
"WPC-FS-001","D:","600","285.74","314.26",""
"WPC-FS-001","","","","","101.44"
