"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1300","1141.44","158.56",""
"ACE-FS-001","","","","","933.24"
"ACAWT-APP-004","D:","127","7.70999999999999","119.29",""
"ACAWT-APP-004","","","","","0.84"
"ACAWT-APP-006","D:","999.98","876.1","123.88",""
"ACAWT-APP-006","","","","","860.29"
"ACAWT-FS-001","D:","1224.98","1163.67","61.31",""
"ACAWT-FS-001","","","","","957.06"
"ACP-FS-001","D:","600","395.77","204.23",""
"ACP-FS-001","","","","","494.12"
"ACP-FS-002","D:","1023.87","86.09","937.78",""
"ACP-FS-002","","","","","36.49"
"BLUS-APP-001","D:","100","32.09","67.91",""
"BLUS-APP-001","","","","","5.19"
"BLUS-RDS-001","D:","23.05","1.78","21.27",""
"BLUS-RDS-001","","","","","0.05"
"BLUS-SQL-001","D:","100","73.39","26.61",""
"BLUS-SQL-001","","","","","45.25"
"BLUS-SQL-002","D:","200","77.78","122.22",""
"BLUS-SQL-002","","","","","51.8"
"BRIO-APP-001","D:","199.98","21.96","178.02",""
"BRIO-APP-001","","","","","7.17"
"BRIO-MEM-001","D:","499.81","398.87","100.94",""
"BRIO-MEM-001","","","","","256.67"
"ENHC-SRV-001","D:","199.92","124.85","75.07",""
"ENHC-SRV-001","","","","","59.68"
"GDA-FS-002","D:","599.98","581.55","18.43",""
"GDA-FS-002","","","","","467.06"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"HSFG-FS-001","D:","300","218.43","81.57",""
"HSFG-FS-001","","","","","281.93"
"MW-FS-001","D:","768.98","488.8","280.18",""
"MW-FS-001","","","","","456.08"
"MW-APP-001","D:","126.98","5.07000000000001","121.91",""
"MW-APP-001","","","","","4.14"
"MW-SQL-001","D:","126.98","40","86.98",""
"MW-SQL-001","","","","","37.54"
"MW-TSE-001","D:","126.98","9.51000000000001","117.47",""
"MW-TSE-001","","","","","3.87"
"NAIL-FS-001","D:","1000","821.57","178.43",""
"NAIL-FS-001","","","","","454.25"
"ODC-FS-001","D:","1200.98","1156.14","44.84",""
"ODC-FS-001","","","","","1118"
"ODC-APP-001","D:","100","30.29","69.71",""
"ODC-APP-001","","","","","6.77"
"ODC-SQL-002","F:","599.87","591.55","8.32",""
"ODC-SQL-002","","","","","578.66"
"ODC-SRV-001","D:","800","332.36","467.64",""
"ODC-SRV-001","","","","","127.85"
"PAL-APP-001","D:","20","6.45","13.55",""
"PAL-APP-001","","","","","6.28"
"PAL-FS-001","D:","601","482.19","118.81",""
"PAL-FS-001","","","","","309.69"
"PTA-APP-001","D:","893.62","180.33","713.29",""
"PTA-APP-001","","","","","159.83"
"PTA-APP-002","D:","250","153.73","96.27",""
"PTA-APP-002","","","","","125.07"
"PTA-FS-001","D:","1024","258.79","765.21",""
"PTA-FS-001","","","","","192.21"
"RI-APS-001","D:","120.87","34.11","86.76",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","380.45","69.42",""
"RI-FS-001","","","","","335.97"
"RI-HM-003","D:","20","10.25","9.75",""
"RI-HM-003","","","","","6.98"
"RI-MDT-003","D:","749.87","619.46","130.41",""
"RI-MDT-003","","","","","21.24"
"RI-SD-001","D:","63.87","36.09","27.78",""
"RI-SD-001","","","","","35.56"
"RI-SQL-001","D:","199.87","93.35","106.52",""
"RI-SQL-001","","","","","83.94"
"RI-TSE-001","D:","99.94","49.12","50.82",""
"RI-TSE-001","","","","","15.5"
"RMC-APP-001","D:","399.98","262.25","137.73",""
"RMC-APP-001","","","","","202.22"
"RMC-FS-001","D:","1936.98","1704.26","232.72",""
"RMC-FS-001","","","","","1279"
"TOO-SRV-002","D:","319.87","145.8","174.07",""
"TOO-SRV-002","","","","","157.45"
"TOO-TSE-001","D:","149.94","87.82","62.12",""
"TOO-TSE-001","","","","","69.9"
"WPC-FS-001","D:","600","285.43","314.57",""
"WPC-FS-001","","","","","101.1"
