"ServerName","DriveName","DiskSize","UsedSpace","FreeSpace","DataSize"
"ACE-FS-001","D:","1300","1123.2","176.8",""
"ACE-FS-001","","","","","932.06"
"ACAWT-APP-004","D:","127","7.70999999999999","119.29",""
"ACAWT-APP-004","","","","","0.84"
"ACAWT-FS-001","D:","1224.98","1160.86","64.12",""
"ACAWT-FS-001","","","","","953.56"
"ACP-FS-001","D:","600","394.96","205.04",""
"ACP-FS-001","","","","","494.07"
"BLUS-APP-001","D:","100","32.08","67.92",""
"BLUS-APP-001","","","","","5.19"
"BLUS-SQL-001","D:","100","73.38","26.62",""
"BLUS-SQL-001","","","","","45.24"
"BLUS-SQL-002","D:","200","77.55","122.45",""
"BLUS-SQL-002","","","","","51.58"
"BLUS-SRV-001","D:","1753.9","962.06","791.84",""
"BLUS-SRV-001","","","","","491.17"
"BRIO-MEM-001","D:","499.81","399.31","100.5",""
"BRIO-MEM-001","","","","","256.63"
"ENHC-SRV-001","D:","199.92","124.9","75.02",""
"ENHC-SRV-001","","","","","59.66"
"GDA-RDS-001","D:","20","5.94","14.06",""
"GDA-RDS-001","","","","","0.01"
"GLP-SRV-001","D:","20","5.94","14.06",""
"GLP-SRV-001","","","","","0.01"
"HSFG-FS-001","D:","300","231.61","68.39",""
"HSFG-FS-001","","","","","281.82"
"HSFG-SQL-001","E:","200.75","137.47","63.28",""
"HSFG-SQL-001","","","","","107.65"
"HSFG-SQL-002","E:","200.75","137.47","63.28",""
"HSFG-SQL-002","","","","","107.65"
"HSFG-TSE-001","E:","200.75","137.47","63.28",""
"HSFG-TSE-001","","","","","107.65"
"HSFG-TSE-003","E:","200.75","137.47","63.28",""
"HSFG-TSE-003","","","","","107.65"
"MW-FS-001","D:","768.98","485.39","283.59",""
"MW-FS-001","","","","","455.63"
"MW-APP-001","D:","126.98","5.01000000000001","121.97",""
"MW-APP-001","","","","","4.13"
"MW-SQL-001","D:","126.98","39.53","87.45",""
"MW-SQL-001","","","","","37.46"
"MW-TSE-001","D:","126.98","9.51000000000001","117.47",""
"MW-TSE-001","","","","","3.87"
"NAIL-FS-001","D:","1000","835.13","164.87",""
"NAIL-FS-001","","","","","467.79"
"ODC-APP-001","D:","1000","835.13","164.87",""
"ODC-APP-001","","","","","467.79"
"ODC-SQL-002","D:","1000","835.13","164.87",""
"ODC-SQL-002","","","","","467.79"
"ODC-SRV-001","D:","1000","835.13","164.87",""
"ODC-SRV-001","","","","","467.79"
"PAL-APP-001","D:","20","6.45","13.55",""
"PAL-APP-001","","","","","6.28"
"PAL-FS-001","D:","601","482.25","118.75",""
"PAL-FS-001","","","","","309.67"
"PTA-APP-001","D:","893.62","179.96","713.66",""
"PTA-APP-001","","","","","159.46"
"PTA-APP-002","D:","250","158.29","91.71",""
"PTA-APP-002","","","","","124.8"
"PTA-FS-001","D:","1024","258.18","765.82",""
"PTA-FS-001","","","","","191.3"
"RI-APS-001","D:","120.87","34.11","86.76",""
"RI-APS-001","","","","","23.37"
"RI-FS-001","D:","449.87","379.6","70.27",""
"RI-FS-001","","","","","335.93"
"RI-HM-003","D:","20","10.24","9.76",""
"RI-HM-003","","","","","6.97"
"RI-MDT-003","D:","749.87","619.33","130.54",""
"RI-MDT-003","","","","","21.15"
"RI-SD-001","D:","63.87","36.03","27.84",""
"RI-SD-001","","","","","35.5"
"RI-SQL-001","D:","199.87","93.35","106.52",""
"RI-SQL-001","","","","","83.94"
"RI-TSE-001","D:","99.94","49.12","50.82",""
"RI-TSE-001","","","","","15.5"
"RMC-FS-001","D:","99.94","49.12","50.82",""
"RMC-FS-001","","","","","15.5"
"TOO-SRV-002","D:","319.87","145.76","174.11",""
