"ServerName","FilePath","FileSize"
"RI-APS-001","Q:\Windows\System32\Config\Software","65"
"RI-APS-001","Q:\Windows\System32\Config\System","12.5"
"RI-Backup-006","Q:\Windows\System32\Config\Software","65"
"RI-Backup-006","Q:\Windows\System32\Config\System","12.25"
"RI-EXCH-002","Q:\Windows\System32\Config\Software","94.5"
"RI-EXCH-002","Q:\Windows\System32\Config\System","15.5"
"RI-FS-001","Q:\Windows\System32\Config\Software","58"
"RI-FS-001","Q:\Windows\System32\Config\System","13.25"
"RI-FS-002","Q:\Windows\System32\Config\Software","63.75"
"RI-FS-002","Q:\Windows\System32\Config\System","13.5"
"RI-HDC-001","Q:\Windows\System32\Config\Software","64.75"
"RI-HDC-001","Q:\Windows\System32\Config\System","13.25"
"RI-HDC-003","Q:\Windows\System32\Config\Software","48.5"
"RI-HDC-003","Q:\Windows\System32\Config\System","9.5"
"RI-HDC-004","Q:\Windows\System32\Config\Software","61.75"
"RI-HDC-004","Q:\Windows\System32\Config\System","11"
"RI-HM-001","Q:\Windows\System32\Config\Software","48"
"RI-HM-001","Q:\Windows\System32\Config\System","10.5"
"RI-HM-003","Q:\Windows\System32\Config\Software","48"
"RI-HM-003","Q:\Windows\System32\Config\System","13"
"RI-MDT-003","Q:\Windows\System32\Config\Software","114.75"
"RI-MDT-003","Q:\Windows\System32\Config\System","19"
"RI-RDG-001","Q:\Windows\System32\Config\Software","64"
"RI-RDG-001","Q:\Windows\System32\Config\System","12"
"RI-SD-001","Q:\Windows\System32\Config\Software","90.5"
"RI-SD-001","Q:\Windows\System32\Config\System","11"
"RI-TSE-001","Q:\Windows\System32\Config\Software","442"
"RI-TSE-001","Q:\Windows\System32\Config\System","25.25"
"RI-WIKI-001","Q:\Windows\System32\Config\Software","57.5"
"RI-WIKI-001","Q:\Windows\System32\Config\System","13.25"
"ACE-FS-001","Q:\Windows\System32\Config\Software","82.5"
"ACE-FS-001","Q:\Windows\System32\Config\System","14.5"
"ACE-HDC-001","Q:\Windows\System32\Config\Software","42.75"
"ACE-HDC-001","Q:\Windows\System32\Config\System","10.75"
"ACE-RDS-001","Q:\Windows\System32\Config\Software","116.5"
"ACE-RDS-001","Q:\Windows\System32\Config\System","25.25"
"ACE-TSE-001","Q:\Windows\System32\Config\Software","107"
"ACE-TSE-001","Q:\Windows\System32\Config\System","36.75"
"ACP-APP-002","Q:\Windows\System32\Config\Software","119.25"
"ACP-APP-002","Q:\Windows\System32\Config\System","8.5"
"ACP-FS-001","Q:\Windows\System32\Config\Software","51"
"ACP-FS-001","Q:\Windows\System32\Config\System","20.5"
"ACP-HDC-002","Q:\Windows\System32\Config\Software","62"
"ACP-HDC-002","Q:\Windows\System32\Config\System","13"
"ACP-HDC-003","Q:\Windows\System32\Config\Software","102.5"
"ACP-HDC-003","Q:\Windows\System32\Config\System","13.25"
"ACP-EXCH-002","Q:\Windows\System32\Config\Software","88.5"
"ACP-EXCH-002","Q:\Windows\System32\Config\System","12.75"
"ARCC-APP-001","Q:\Windows\System32\Config\Software","62.75"
"ARCC-APP-001","Q:\Windows\System32\Config\System","10.25"
"ARCC-HDC-004","Q:\Windows\System32\Config\Software","79.75"
"ARCC-HDC-004","Q:\Windows\System32\Config\System","15.5"
"ARCC-EXCH-001","Q:\Windows\System32\Config\Software","88.25"
"ARCC-EXCH-001","Q:\Windows\System32\Config\System","11.5"
