"FileData","FilePath"
"%  O0335(2.813 R LOCK PULLING NECK)  (P/N 11OE2813R-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0335"
"%  O0336(2.813 R LOCK PULLING NECK)  (P/N 11OE2813R-01) ","F:\Data\Scripts\Powershell\BRIO\Files\O0336"
"%  O0337(2.75/2.813 R LOCK EXP.TUBE) (P/N 11OE2750R-02) ","F:\Data\Scripts\Powershell\BRIO\Files\O0337"
"%  O0338(2.75/2.813 R-LOCK EXP.TUBE) (P/N 11OE2750R-02) ","F:\Data\Scripts\Powershell\BRIO\Files\O0338"
"%  O0339(2.75/2.813 R LOCK PACK.MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0339"
"%  O0340(2.75/2.813 R LOCK PACK.MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0340"
"%  O0341(2.875 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0341"
"%  O0342(2.875 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0342"
"%  O0343(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0343"
"%  O0344(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0344"
"%  O0345(2.375 COLLAR F STOP WITH) (INTERFERENCE THREADED MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0345"
"%  O0346(2.375 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0346"
"%  O0347(2.375 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0347"
"%  O0348(2.875 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0348"
"%  O0349(2.875 A3 STYLE RATCHETING)  (PACKOFF BODY) ","F:\Data\Scripts\Powershell\BRIO\Files\O0349"
"%  O0350(2.875 A3 STYLE RATCHETING)  (PACKOFF MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0350"
"%  O0351(2.875 A3 STYLE RATCHETING)  (PACKOFF MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0351"
"%  O0352(2.875 A3 STYLE RATCHETING)  (PACKOFF BACKUP RING)","F:\Data\Scripts\Powershell\BRIO\Files\O0352"
"%  O0353(1.875 R-LOCK WINDOW HOUSING)  (P/N 11OE1875R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0353"
"%  O0354(1.875 R-LOCK WINDOW HOUSING)  (P/N 11OE1875R-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0354"
"%  O0355(3.000 AW PACKING SUB) (P/N 10BK3000AW-04)","F:\Data\Scripts\Powershell\BRIO\Files\O0355"
"%  O0356(3.000 AW PACKING SUB) (P/N 10BK3000AW-04)","F:\Data\Scripts\Powershell\BRIO\Files\O0356"
"%  O0357(2.875 AW PACKING SUB) (P/N 10BK2875AW-04)","F:\Data\Scripts\Powershell\BRIO\Files\O0357"
"%  O0358(2.875 AW PACKING SUB) (P/N 10BK2875AW-04)","F:\Data\Scripts\Powershell\BRIO\Files\O0358"
"%  O0359(2.875 AW TEST TOOL NOGO SUB)  (P/N 10BK2875AW-03)","F:\Data\Scripts\Powershell\BRIO\Files\O0359"
"%  O0360(2.875 AW TEST TOOL NOGO SUB)  (P/N 10BK2875AW-03)","F:\Data\Scripts\Powershell\BRIO\Files\O0360"
"%  O0361(1.875 R LOCK ARTIFICAL LIFT)  (PACKING MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0361"
"%  O0362(INNER SETTING ADAPTER SHORT)   ","F:\Data\Scripts\Powershell\BRIO\Files\O0362"
"%  O0363(INNER SETTING ADAPTER LONG)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0363"
"%  O0364(2.313 X-LOCK PACKING MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0364"
"%  O0365(2.313 X-LOCK PACKING MANDREL)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0365"
"%  O0366(2.313 X-LOCK WINDOW HOUSING)  (P/N 11OE2313X-03) ","F:\Data\Scripts\Powershell\BRIO\Files\O0366"
"%  O0367(2.750 X-LOCK INTERFERENCE)  (MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0367"
"%  O0368(2.750 X-LOCK INTERFERENCE)  (MANDREL)","F:\Data\Scripts\Powershell\BRIO\Files\O0368"
"%  O0369(2.313 X/R CHOKE BEAN SCREEN)  (P/N 12OE2313CBS01)","F:\Data\Scripts\Powershell\BRIO\Files\O0369"
"%  O0370(2.313 X/R CHOKE BEAN SCREEN)  (P/N 12OE2313CBS01)","F:\Data\Scripts\Powershell\BRIO\Files\O0370"
"%  O0371(2.813 FB2 PACKING MANDREL)  (P/N 10BK2813FB-05 REV.C)","F:\Data\Scripts\Powershell\BRIO\Files\O0371"
"%  O0372(2.813 FB2 PACKING MANDREL)  (P/N 10BK2813FB-05 REV.C)","F:\Data\Scripts\Powershell\BRIO\Files\O0372"
"%  O0373(2.563 FB2 PACKING MANDREL)  (P/N 10BK2563FB-05 REV.B)","F:\Data\Scripts\Powershell\BRIO\Files\O0373"
"%  O0374(2.563 FB2 PACKING MANDREL)  (P/N 10BK2563FB-05 REV.B)","F:\Data\Scripts\Powershell\BRIO\Files\O0374"
"%  O0375(2.313 X SURFACE SETTING TOOL) (TOP SUB)","F:\Data\Scripts\Powershell\BRIO\Files\O0375"
"%  O0376(2.313 X SURFACE SETTING TOOL) (TOP SUB)","F:\Data\Scripts\Powershell\BRIO\Files\O0376"
"%  O0377(TURN ODS)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0377"
"%  O0378(3.5 CAM PERFORATOR TOP SUB) (P/N 08OE3500CAM01)","F:\Data\Scripts\Powershell\BRIO\Files\O0378"
"%  O0379(3.5 CAM PEFORATOR TOPSUB) (P/N 08OE3500CAM01)","F:\Data\Scripts\Powershell\BRIO\Files\O0379"
"%  O0380(2 7/8 CAM PERFORATOR RET.PLUG)  (P/N 08OE2875CAM10)","F:\Data\Scripts\Powershell\BRIO\Files\O0380"
"%  O0381(3.000 G BOTTOM)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0381"
"%  O0382(3.000 G BOTTOM)  ","F:\Data\Scripts\Powershell\BRIO\Files\O0382"
