"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - fd908506-f59e-4312-a36a-28c4408bd0ea","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 27cae306-ae31-4932-bfc9-165ce255219e","Standard"
,,,,"MW-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 8b9b0aec-7fdf-419c-8362-602cf49d90cb","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 7ca8d65d-91da-4b3c-bfb6-208b9e5413c8","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 1367b3b2-5059-4b5a-bf38-b8179fc4a637","Standard"
"ACAWT-HVS-002","C:","222.4","189.39",,,,
"ACAWT-HVS-002","D:","11176.5","10988.01",,,,
,,,,"ACAWT-APP-004","Running",,
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - de6ae8a9-5b03-4ccd-9e4e-d820332699bb","Standard"
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - 6c910961-b649-4d9b-87e8-eb1903ef6d37","Standard"
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - 0afe3b63-59f0-4335-bd15-d5806411069d","Standard"
,,,,"ACAWT-APP-005","Running",,
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - 06c59bb1-1bb2-4d67-bff1-e512f9f2816d","Standard"
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - 805bd9a5-14d5-4f48-8d5d-f0631e2be0c9","Standard"
"ACAWT-HVS-002",,,,,,"Rolling Checkpoint - 7953fef5-7619-4581-ae5f-961b00b470a9","Standard"
"ACE-HVS-001","C:","930.48","760.45",,,,
"ACE-HVS-001","D:","3724.87","3193.33",,,,
,,,,"ACE-SRV-001","Running",,
"ACE-HVS-001",,,,,,"Rolling Checkpoint - 824070d3-1e4b-413f-aade-594ad79ded94","Standard"
"ACE-HVS-001",,,,,,"Rolling Checkpoint - 511bccb7-c6be-4c83-a61e-dbe1bef6f5d9","Standard"
"ACE-HVS-002","C:","1116.7","902.22",,,,
"ACE-HVS-002","D:","6704.87","4170.23",,,,
,,,,"ACE-DT-049","Running",,
,,,,"ACE-FS-001","Running",,
"ACE-HVS-002",,,,,,"ACE-FS-001 - (12/1/2023 - 8:37:55 AM)","Standard"
"ACE-HVS-002",,,,,,"ACE-FS-001 - (12/4/2023 - 8:41:20 AM)","Standard"
,,,,"ACE-HDC-001","Running",,
"ACE-HVS-002",,,,,,"ACE-HDC-001 - (12/1/2023 - 8:37:51 AM)","Standard"
"ACE-HVS-002",,,,,,"ACE-HDC-001 - (12/4/2023 - 8:41:25 AM)","Standard"
,,,,"ACE-RDG-001","Running",,
,,,,"ACE-RDS-001","Running",,
"ACE-HVS-002",,,,,,"ACE-RDS-001 - (12/1/2023 - 8:37:44 AM)","Standard"
"ACE-HVS-002",,,,,,"ACE-RDS-001 - (12/4/2023 - 8:41:29 AM)","Standard"
,,,,"ACE-SRV-001","Off",,
