"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001","C:","2234.4","980.77",,,,
"ACAWT-HVS-001","D:","6704.98","463.64",,,,
,,,,"ACAWT-APP-006","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 7d82d2ae-3326-485d-849b-ee38df788ef5","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 01af62d7-3ac7-48f7-b6ae-b625c427c6e3","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 3d75df1f-ee94-49d2-bd89-29af25c27148","Standard"
,,,,"ACAWT-EXCH-001","Running",,
,,,,"ACAWT-FS-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 8ef5e39b-70d9-4c70-910a-d46ffcd8638a","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 027ebbef-0e7e-4590-b9b1-fd7d0add7856","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a2bc1182-d79b-4cbb-86eb-3b281b04c738","Standard"
,,,,"ACAWT-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2210f195-21f1-4588-b884-cc397ee752f1","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2a738907-5cde-4e95-8acb-6afaa79642b6","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c97c9e3a-9c5f-4391-afb2-66b130cec13f","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-HDC-001 - (10/27/2023 - 5:48:14 PM)","Standard"
,,,,"ACAWT-HDC-002","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - ba72eda4-7915-457c-b61e-7961e661954a","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 6caaedbf-3c02-478b-a7d8-d4d6e9adfe89","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - df4b473a-003a-4cdb-a8f4-cbb2e5eeebc0","Standard"
,,,,"ACAWT-HDC-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 8630ea06-5e65-49c6-9dfe-5a6914d5741c","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - b466dea0-2482-4436-b618-168a41ca5344","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c41fe5fb-c22d-4843-a1dd-9c5f4f2a377f","Standard"
,,,,"ACAWT-HDC-101","Running",,
,,,,"ACAWT-PRXY-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - defc8df7-447b-4672-9b00-7fc3d274a849","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 853056e3-77bf-45f4-8d19-b44905a0badc","Standard"
,,,,"ACAWT-SP-002","Off",,
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4","Standard"
