"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001","C:","2234.4","979.9",,,,
"ACAWT-HVS-001","D:","6704.98","801.5",,,,
,,,,"ACAWT-APP-006","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 9d80984d-9134-4ef7-a95d-193dc3699717","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5ef095d8-a42d-47cb-8e6a-fede9fb2487d","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 6a086cb9-0cce-495a-be3d-36049249284e","Standard"
,,,,"ACAWT-EXCH-001","Running",,
,,,,"ACAWT-FS-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 5cd1be80-73de-46d8-a353-58ad164b2a28","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a29a7538-64be-48f7-b8be-91fa897a314b","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a2f417ba-c412-433f-bd7e-941c8d5a1c4e","Standard"
,,,,"ACAWT-HDC-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2210f195-21f1-4588-b884-cc397ee752f1","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 2a738907-5cde-4e95-8acb-6afaa79642b6","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c97c9e3a-9c5f-4391-afb2-66b130cec13f","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-HDC-001 - (10/27/2023 - 5:48:14 PM)","Standard"
,,,,"ACAWT-HDC-002","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 1cb6f94f-794b-4662-a902-2b6585734631","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 3bf1b340-5469-451c-9dc5-502454c64fc7","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 0ef07f97-6e2c-429c-b066-2190c370deef","Standard"
,,,,"ACAWT-HDC-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c9328eeb-32a1-430b-b548-e4ec4f8d10f5","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - ea3b6f2c-681a-4c45-b8c6-3201923cb2df","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 73105ec1-9732-4c39-8644-d1054848af7f","Standard"
,,,,"ACAWT-HDC-101","Running",,
,,,,"ACAWT-PRXY-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 6dfd6e35-3344-4829-987b-0b2806dfcbac","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 3f1e325d-6ed1-42b3-a771-0a1128a52309","Standard"
,,,,"ACAWT-SP-002","Off",,
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/24/2023 - 8:57:07 AM)","Standard"
,,,,"ACAWT-SP-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - e319a1c2-7d2c-48da-b03b-66279aab781f","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - e761af91-b3ee-489f-9be3-870d81f0ac97","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - b0b8ad3d-9c93-4b5d-bcab-de57ca121110","Standard"
