"ServerName","DriveName","DiskSize","FreeSpace","VMName","State","SnapshotName","SnapshotTYpe"
"ACAWT-HVS-001","C:","2234.4","2202.79",,,,
"ACAWT-HVS-001","D:","6704.98","5307.93",,,,
,,,,"ACAWT-APP-001","Running",,
,,,,"ACAWT-APP-002","Running",,
,,,,"ACAWT-APP-003","Running",,
,,,,"ACAWT-EXCH-001","Off",,
,,,,"ACAWT-FS-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 0889dc29-6683-4d94-85d6-d97be808b546","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - ba0407bb-9271-4bb3-baf4-d807027a7d28","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 294cdc74-aedb-4635-a9cd-9e63a12c9573","Standard"
,,,,"ACAWT-HDC-001","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 58463043-bc01-4422-a890-e46d7136e157","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 48dee09c-378f-4b54-90cd-41d4a8d1db80","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 87120d3a-9ab5-4fe4-b845-7cc4e9f117c8","Standard"
,,,,"ACAWT-SP-002","Off",,
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 4:53:14 PM) - Sharepoint 2013 Installed","Standard"
"ACAWT-HVS-001",,,,,,"ACAWT-SP-002 - (10/30/2020 - 7:36:47 PM) Upgraded SQL2008 to 2012 SP4","Standard"
,,,,"ACAWT-SP-003","Running",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 64adf51c-c1ae-4bc4-9078-51ea98414e73","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 18c7f15a-1d6f-4d9c-85a1-0174ac79dec9","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - a825fd28-872f-4993-a524-c18deca9ef97","Standard"
,,,,"ACAWT-TSE-001","Off",,
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - d07fbaa7-d0d5-4314-9ae9-0a4d18e13bd2","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - 0c134c4f-d278-496d-a977-c7d22f99108c","Standard"
"ACAWT-HVS-001",,,,,,"Rolling Checkpoint - c0e7eb30-c8f1-4d7b-b18a-669c46e50816","Standard"
"ACAWT-HVS-002","C:","222.4","205.06",,,,
"ACAWT-HVS-002","D:","11176.5","7416.42",,,,
,,,,"ACAWT-APP-004","Running",,
,,,,"ACAWT-APP-005","Running",,
"ACE-HVS-001","C:","930.48","760.42",,,,
"ACE-HVS-001","D:","3724.87","412.37",,,,
,,,,"ACE-FS-001","Off",,
,,,,"ACE-HDC-001","Off",,
