2021/11/04 11:38:16 [1692] opening tcp connection to 10.0.7.81 port 873
2021/11/04 11:38:16 [1692] building file list
2021/11/04 11:38:17 [1692] <f+++++++++              66  2018/07/04-09:47:57 send       Scripts/Powershell/.gitattributes
2021/11/04 11:38:17 [1692] <f+++++++++            5582  2018/07/04-09:47:57 send       Scripts/Powershell/.gitignore
2021/11/04 11:38:17 [1692] <f+++++++++              22  2018/07/24-09:59:35 send       Scripts/Powershell/0
2021/11/04 11:38:17 [1692] <f+++++++++              14  2018/07/13-14:59:06 send       Scripts/Powershell/425.28
2021/11/04 11:38:17 [1692] <f+++++++++           66961  2018/07/24-11:12:55 send       Scripts/Powershell/ACAWTSQL_Report.xml
2021/11/04 11:38:17 [1692] <f+++++++++             542  2021/04/07-15:36:20 send       Scripts/Powershell/ACEVM-Attach-USB-Drive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             483  2021/04/07-15:39:43 send       Scripts/Powershell/ACEVM-Remove-USB-Drive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            3854  2018/07/12-15:12:25 send       Scripts/Powershell/ADSetup.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2348  2020/04/14-10:34:25 send       Scripts/Powershell/Backup and Restore Scheduled Tasks.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2175  2021/03/17-14:17:37 send       Scripts/Powershell/Backup-SQL-Daily.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            3662  2020/09/22-13:24:33 send       Scripts/Powershell/BackupFIleRename.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             720  2020/03/12-16:50:54 send       Scripts/Powershell/Change Permissions.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1540  2018/07/24-15:57:37 send       Scripts/Powershell/CheckFreeSpaceOnDrive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++           23848  2020/04/27-16:51:07 send       Scripts/Powershell/CheckUsersV1.0.2.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             484  2019/11/08-14:32:17 send       Scripts/Powershell/Copy FIles Into Folders Day of Week.cmd
2021/11/04 11:38:17 [1692] <f+++++++++             976  2021/04/08-14:43:51 send       Scripts/Powershell/Create Add USB Drive Scheduled Task.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             544  2018/07/12-15:53:02 send       Scripts/Powershell/Create Log Script.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1675  2021/04/07-15:46:31 send       Scripts/Powershell/Create Scheduled Task.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             842  2018/10/01-11:40:09 send       Scripts/Powershell/DateCheck2.cmd
2021/11/04 11:38:17 [1692] <f+++++++++             415  2018/06/13-16:39:08 send       Scripts/Powershell/DateParse.cmd
2021/11/04 11:38:17 [1692] <f+++++++++            2961  2020/07/10-15:28:05 send       Scripts/Powershell/DirectoryCount.ps1
2021/11/04 11:38:17 [1692] <f+++++++++              81  2019/11/29-13:44:51 send       Scripts/Powershell/DirectoryList.csv
2021/11/04 11:38:17 [1692] <f+++++++++             872  2018/07/13-17:02:49 send       Scripts/Powershell/Disk size check.ps1
2021/11/04 11:38:17 [1692] <f+++++++++              32  2021/03/18-10:44:09 send       Scripts/Powershell/Exchange-Mailbox-Search.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1195  2018/06/29-16:57:36 send       Scripts/Powershell/FileInUSe.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             572  2018/06/29-16:57:59 send       Scripts/Powershell/Filelock.txt
2021/11/04 11:38:17 [1692] <f+++++++++             796  2021/08/26-15:13:14 send       Scripts/Powershell/Get List of ADUsers by SID.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1112  2021/09/08-15:02:07 send       Scripts/Powershell/Get List of Users by Name Job and Email.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             670  2020/05/15-11:16:43 send       Scripts/Powershell/Get the Parent VHD of a differencating X.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2007  2021/07/14-16:33:19 send       Scripts/Powershell/Get-Folder Permissions.ps1
2021/11/04 11:38:17 [1692] <f+++++++++           11336  2018/11/30-16:13:43 send       Scripts/Powershell/Get-UserSession.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            5057  2021/06/17-11:23:14 send       Scripts/Powershell/GetADUserInfo.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            6595  2021/01/19-16:04:33 send       Scripts/Powershell/HVS Host Disconnect drive and reconnect.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            3687  2020/09/22-16:49:35 send       Scripts/Powershell/Local-PTAS-Backup.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1763  2018/04/04-08:58:59 send       Scripts/Powershell/LocalPSTBackup.cmd
2021/11/04 11:38:17 [1692] <f+++++++++            3924  2020/07/03-11:31:52 send       Scripts/Powershell/Mapped Drive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             305  2018/06/21-17:00:21 send       Scripts/Powershell/Matrix.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             183  2020/08/06-11:04:28 send       Scripts/Powershell/ODC-SRV-001-Attach-USB-Drive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            3326  2019/01/10-14:56:26 send       Scripts/Powershell/PSTBackup.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             215  2018/07/06-11:47:24 send       Scripts/Powershell/PSTBackup2.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2578  2018/07/13-11:01:29 send       Scripts/Powershell/PSTBackup_Manual.ps1
2021/11/04 11:38:17 [1692] <f+++++++++              96  2018/07/09-15:53:18 send       Scripts/Powershell/PSTList_Manual.csv
2021/11/04 11:38:17 [1692] <f+++++++++             968  2018/07/24-15:41:16 send       Scripts/Powershell/Parse XML.ps1
2021/11/04 11:38:17 [1692] <f+++++++++              13  2018/07/04-09:47:57 send       Scripts/Powershell/README.md
2021/11/04 11:38:17 [1692] <f+++++++++            7215  2018/07/16-12:01:28 send       Scripts/Powershell/RI-Exchange.psm1
2021/11/04 11:38:17 [1692] <f+++++++++            4457  2021/04/12-17:00:58 send       Scripts/Powershell/RI-Local-Backup.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             496  2021/02/02-16:59:52 send       Scripts/Powershell/RI-Monthly-Backup.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1134  2021/11/04-11:33:04 send       Scripts/Powershell/RSYNC-Test.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             748  2021/01/18-11:43:34 send       Scripts/Powershell/RadiusLogFileCleanUp.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             550  2018/06/29-16:57:40 send       Scripts/Powershell/ReadingFiles.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1050  2019/04/24-15:39:31 send       Scripts/Powershell/RenameDBBackup.cmd
2021/11/04 11:38:17 [1692] <f+++++++++             506  2018/07/19-16:28:26 send       Scripts/Powershell/Report.xml
2021/11/04 11:38:17 [1692] <f+++++++++            2525  2020/02/25-15:45:05 send       Scripts/Powershell/Restart_Docuware.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             183  2020/08/06-11:03:57 send       Scripts/Powershell/SHEP-EXCH-001-Attach-USB-Drive.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            4045  2020/06/18-13:48:02 send       Scripts/Powershell/ServerConfigInfo-HVS.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            5728  2020/05/14-09:10:46 send       Scripts/Powershell/ServerConfigInfo.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            3109  2021/03/02-16:04:30 send       Scripts/Powershell/Stock-SyncUpdate.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             227  2021/04/09-13:26:35 send       Scripts/Powershell/Test.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             610  2020/04/24-16:58:57 send       Scripts/Powershell/Testing SMB Drive Mapping.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            1073  2020/05/25-15:44:16 send       Scripts/Powershell/Uninstall_Microsoft_Teams.ps1
2021/11/04 11:38:17 [1692] <f+++++++++              79  2018/08/02-15:42:21 send       Scripts/Powershell/Untitled-1.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2935  2021/03/15-15:40:41 send       Scripts/Powershell/Update-StockSync.ps1
2021/11/04 11:38:17 [1692] <f+++++++++             252  2018/07/03-16:40:29 send       Scripts/Powershell/Utilities.txt
2021/11/04 11:38:17 [1692] <f+++++++++            4524  2021/03/17-16:37:07 send       Scripts/Powershell/VM-SnapshotList.ps1
2021/11/04 11:38:17 [1692] <f+++++++++            2414  2021/02/16-09:19:33 send       Scripts/Powershell/WB-Hyper-V-VMs.ps1
